id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
63779,Viaggio al centro della spugna,,Viaggio al centro della spugna,1994-12-05,1994-12-05,05/12/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/05-12-1994 Viaggio al centro della spugna (63779)
63780,La rosa di San Giorgio,,La rosa di San Giorgio,1994-12-19,1994-12-19,19/12/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/19-12-1994 La rosa di San Giorgio (63780)
63781,La rosa di San Giorgio,,La rosa di San Giorgio,1994-12-20,1994-12-20,20/12/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/20-12-1994 La rosa di San Giorgio (63781)
63782,La rosa di San Giorgio,,La rosa di San Giorgio,1994-12-21,1994-12-21,21/12/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/21-12-1994 La rosa di San Giorgio (63782)
63783,La rosa di San Giorgio,,La rosa di San Giorgio,1994-12-22,1994-12-22,22/12/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/22-12-1994 La rosa di San Giorgio (63783)
63784,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-25,1995-01-25,25/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/25-01-1995 La rosa di San Giorgio (63784)
63785,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-26,1995-01-26,26/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/26-01-1995 La rosa di San Giorgio (63785)
63786,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-27,1995-01-27,27/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/27-01-1995 La rosa di San Giorgio (63786)
63787,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-28,1995-01-28,28/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/28-01-1995 La rosa di San Giorgio (63787)
63788,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-30,1995-01-30,30/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/30-01-1995 La rosa di San Giorgio (63788)
63789,La rosa di San Giorgio,,La rosa di San Giorgio,1995-01-31,1995-01-31,31/01/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/31-01-1995 La rosa di San Giorgio (63789)
63790,Babar,,Babar,1995-02-20,1995-02-20,20/02/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/20-02-1995 Babar (63790)
63791,Babar,,Babar,1995-02-21,1995-02-21,21/02/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/21-02-1995 Babar (63791)
63792,Il carnevale degli animali,,Il carnevale degli animali,1995-02-27,1995-02-27,27/02/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/27-02-1995 Il carnevale degli animali (63792)
63793,Il carnevale degli animali,,Il carnevale degli animali,1995-02-28,1995-02-28,28/02/1995,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/28-02-1995 Il carnevale degli animali (63793)
