id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
60876,La Baracca/Teatro Testoni Ragazzi,26723,interprete
60877,La Baracca/Teatro Testoni Ragazzi,26723,interprete
60880,Abruzzo Tu.Cu.R/I Guardiani dell'Oca,30837,interprete
60881,Abruzzo Tu.Cu.R/I Guardiani dell'Oca,30837,interprete
60884,Operetta Ballet,30916,interprete
60885,Operetta Ballet,30916,interprete
60886,Operetta Ballet,30916,interprete
60887,Operetta Ballet,30916,interprete
60888,Operetta Ballet,30916,interprete
60889,Operetta Ballet,30916,interprete
60892,Teatro Municipale Romolo Valli,29664,produzione
60892,Operetta Ballet,30916,interprete
60893,Teatro Municipale Romolo Valli,29664,produzione
60893,Operetta Ballet,30916,interprete
60894,Balletto Regionale di Mantova,30918,interprete
60895,Balletto Regionale di Mantova,30918,interprete
60896,Balletto Regionale di Mantova,30918,interprete
60900,Teatro Municipale Romolo Valli,29664,produzione
60900,Balletto Regionale di Mantova,30918,interprete
60901,Teatro Municipale Romolo Valli,29664,produzione
60901,Balletto Regionale di Mantova,30918,interprete
60902,Orchestra del Teatro Bellini di Napoli,29485,interprete
60902,Bellini Opera Musical,30919,interprete
60902,Coro del Teatro Bellini di Napoli,30920,interprete
60903,Orchestra del Teatro Bellini di Napoli,29485,interprete
60903,Bellini Opera Musical,30919,interprete
60903,Coro del Teatro Bellini di Napoli,30920,interprete
60904,Teatro Municipale Romolo Valli,29664,produzione
60904,Orchestra del Teatro Bellini di Napoli,29485,interprete
60904,Bellini Opera Musical,30919,interprete
60904,Coro del Teatro Bellini di Napoli,30920,interprete
60905,Compagnia Corrado Abbati,29548,interprete
60906,Compagnia Corrado Abbati,29548,interprete
60907,Compagnia Corrado Abbati,29548,interprete
60908,Compagnia Corrado Abbati,29548,interprete
60909,Compagnia Corrado Abbati,29548,interprete
60910,Compagnia Corrado Abbati,29548,interprete
60911,Compagnia Corrado Abbati,29548,interprete
60912,Compagnia Corrado Abbati,29548,interprete
60913,Orchestra della Compagnia Balletto Alacritas,30921,interprete
60913,Coro della Compagnia Balletto Alacritas,30922,interprete
