id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38454,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38454,"Coro del Teatro Regio, Torino",7196,Coro
38455,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38455,"Coro del Teatro Regio, Torino",7196,Coro
38456,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38456,"Coro del Teatro Regio, Torino",7196,Coro
38457,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38457,"Coro del Teatro Regio, Torino",7196,Coro
38458,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38458,"Coro del Teatro Regio, Torino",7196,Coro
38459,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38459,"Coro del Teatro Regio, Torino",7196,Coro
38460,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38460,"Coro del Teatro Regio, Torino",7196,Coro
38461,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38461,"Coro del Teatro Regio, Torino",7196,Coro
38462,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38462,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38463,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38463,"Coro del Teatro Regio, Torino",7196,Coro
38464,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38464,"Coro del Teatro Regio, Torino",7196,Coro
38465,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38465,"Coro del Teatro Regio, Torino",7196,Coro
38466,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38466,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38467,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38467,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38468,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38468,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38469,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38469,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38470,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38470,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38471,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38471,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38472,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38472,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38473,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38473,"Coro del Teatro Regio, Torino",7196,Coro
38474,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38474,"Coro del Teatro Regio, Torino",7196,Coro
38475,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38475,"Coro del Teatro Regio, Torino",7196,Coro
38476,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38476,"Coro del Teatro Regio, Torino",7196,Coro
38477,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38477,"Coro del Teatro Regio, Torino",7196,Coro
38478,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38478,"Coro del Teatro Regio, Torino",7196,Coro
38479,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38479,"Coro del Teatro Regio, Torino",7196,Coro
38480,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38480,"Coro del Teatro Regio, Torino",7196,Coro
38481,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38481,"Coro del Teatro Regio, Torino",7196,Coro
38482,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38490,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38491,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38492,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38493,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38494,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38495,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38496,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38497,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38498,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38499,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38500,"Cappella Neapolitana, Napoli",28359,Orchestra
38500,Pifarescha,28360,Complesso da camera
38500,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38500,"Coro del Teatro Regio, Torino",7196,Coro
