performance_id,credit_type,person_id,person_name,role
33594,artistic,10593,Chantal Thomas,Scenografo
33594,artistic,10594,Duane Schuler,Luci
33595,artistic,7169,Andrea Anfossi,Luci
33595,artistic,10741,Giuseppe Patroni Griffi,Regista
33595,artistic,7487,Vittorio Borrelli,Regista
33595,artistic,3765,Aldo Terlizzi,"Costumista,Scenografo"
33595,artistic,10685,Saverio Santoliquido,Direttore dell'allestimento
33596,artistic,7487,Vittorio Borrelli,Regista
33596,artistic,7220,Eugenio Guglielminetti,Scenografo
33596,artistic,10685,Saverio Santoliquido,"Direttore dell'allestimento,Scenografo"
33596,artistic,10116,Claudia Boasso,Scenografo
33596,artistic,7860,Laura Viglione,Costumista
33596,artistic,9738,Luca Ferioli,Luci
33597,artistic,10776,Andrei Konchalovsky,"Luci,Regista"
33597,artistic,3807,Graziano Gregori,Scenografo
33597,artistic,10778,Carla Teti,Costumista
33597,artistic,10777,Irkin Gabitov,Assistente alla regia
33597,artistic,10779,Karina Arutyunyan,Assistente alla regia
33597,artistic,10780,Angelo Linzalata,Assistente alle scene
33597,artistic,10782,Ramune Chodorkaite,Assistente alle scene
33597,artistic,10781,Katia Marcanio,Assistente ai costumi
33597,artistic,4022,Vinicio Cheli,Assistente alle luci
33597,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria,Calzature,Sartoria"
33597,technical,11320,Gruppo Fondiaria-Sai,Sponsor
33597,technical,10799,"Delfini Group S.r.l., Roma",Realizzazione
33597,technical,10800,"Peroni S.p.a., Gallarate",Realizzazione
33597,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
33597,technical,10802,Props and Decors di Giuseppe Rombolà e C. S.n.c.,Attrezzeria
33597,technical,10803,Marotta S.r.l.,Attrezzeria
