id;fullpath;published;dcTitle;dcDescription;from;to;datetext;Luogo rappresentazione;Enti collegati;Persone collegate;Recite collegate;Opere musicali collegate;luogo_rappresentazione;luogo_rappresentazione_id;edificio_rappresentazione;edificio_rappresentazione_id;enti_collegati_clean;enti_collegati_id;enti_collegati_ruolo;persone_collegate_clean;persone_collegate_id;persone_collegate_ruolo;recite_collegate_clean;recite_collegate_id;opere_collegate_clean;opere_collegate_id;enti_collegati;persone_collegate;recite_collegate;opere_collegate
53745;/Produzioni/1998 Don Giovanni (53745);1.0;Don Giovanni;;1998-12-11;1998-12-11;1998;"[
    {
        'Id': 162,
        'nome': 'Milano',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9109,
        'nome': 'Teatro Giorgio Strehler',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29788,
        'Nome': 'Piccolo Teatro di Milano/Teatro d'Europa',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 15440,
        'Nome': 'Brook, Peter',
        'Ruolo': ''
    },
    {
        'Identificativo': 15678,
        'Nome': 'Pye, Tom',
        'Ruolo': ''
    },
    {
        'Identificativo': 15442,
        'Nome': 'Obolensky, Chloé',
        'Ruolo': ''
    },
    {
        'Identificativo': 15679,
        'Nome': 'Vissière, Cécile',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57963,
        'Nome': 'In treno all'opera: Don Giovanni',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69352,
        'Nome': 'Don Giovanni, K 527',
        'Ruolo': ''
    }
]";Milano;162;Teatro Giorgio Strehler;9109;;29788;produzione;;15440, 15678, 15442, 15679;, , , ;;57963;;69352;Piccolo Teatro di Milano/Teatro d'Europa;Peter Brook, Tom Pye, Chloé Obolensky, Cécile Vissière;In treno all'opera: Don Giovanni;Don Giovanni, K 527
53746;/Produzioni/1999 Attila (53746);1.0;Attila;;1999-04-13;1999-04-13;1999;"[
    {
        'Id': 119,
        'nome': 'Bologna',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8654,
        'nome': 'Teatro Comunale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29675,
        'Nome': 'Teatro Comunale di Bologna',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29687,
        'Nome': 'Ravenna Festival',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10159,
        'Nome': 'Saccomandi, Gigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 10281,
        'Nome': 'Pizzi, Pier Luigi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58633,
        'Nome': 'In treno all'opera: Attila',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69447,
        'Nome': 'Attila',
        'Ruolo': ''
    }
]";Bologna;119;Teatro Comunale;8654;;29675, 29687;produzione, produzione;;10159, 10281;, ;;58633;;69447;Teatro Comunale di Bologna, Ravenna Festival;Gigi Saccomandi, Pier Luigi Pizzi;In treno all'opera: Attila;Attila
53747;/Produzioni/1995 Ubu incatenato e re (53747);1.0;Ubu incatenato e re;Teatro della Tosse, Genova (EN-);1995-10-14;1995-10-14;1995;"[
    {
        'Id': 143,
        'nome': 'Genova',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9183,
        'nome': 'Teatro S. Agostino',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29749,
        'Nome': 'Teatro della Tosse',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11289,
        'Nome': 'Conte, Tonino',
        'Ruolo': ''
    },
    {
        'Identificativo': 10725,
        'Nome': 'Luzzati, Emanuele',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57370,
        'Nome': 'Ubu incatenato e re',
        'Ruolo': ''
    },
    {
        'Identificativo': 57371,
        'Nome': 'Ubu incatenato e re',
        'Ruolo': ''
    },
    {
        'Identificativo': 57369,
        'Nome': 'Ubu incatenato e re',
        'Ruolo': ''
    }
]";[];Genova;143;Teatro S. Agostino;9183;;29749;produzione;;11289, 10725;, ;;57370, 57371, 57369;;;Teatro della Tosse;Tonino Conte, Emanuele Luzzati;Ubu incatenato e re, Ubu incatenato e re, Ubu incatenato e re;
53748;/Produzioni/1998 Amleto (53748);1.0;Amleto;;1998-08-22;1998-08-22;1998;"[
    {
        'Id': 8144,
        'nome': 'Verona',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9178,
        'nome': 'Teatro Romano',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29786,
        'Nome': 'Teatro Stabile di Napoli',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11305,
        'Nome': 'Marrone, Patrizio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10499,
        'Nome': 'Craig, Zeno',
        'Ruolo': ''
    },
    {
        'Identificativo': 10486,
        'Nome': 'Russo, Tato',
        'Ruolo': ''
    },
    {
        'Identificativo': 10382,
        'Nome': 'Gatti, Aurelio',
        'Ruolo': ''
    },
    {
        'Identificativo': 11021,
        'Nome': 'Giustino, Giusi',
        'Ruolo': ''
    },
    {
        'Identificativo': 11306,
        'Nome': 'Latronica, Patrick',
        'Ruolo': ''
    },
    {
        'Identificativo': 11304,
        'Nome': 'Di Ronza, Tonino',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57372,
        'Nome': 'Amleto',
        'Ruolo': ''
    },
    {
        'Identificativo': 57373,
        'Nome': 'Amleto',
        'Ruolo': ''
    },
    {
        'Identificativo': 57374,
        'Nome': 'Amleto',
        'Ruolo': ''
    }
]";[];Verona;8144;Teatro Romano;9178;;29786;produzione;;11305, 10499, 10486, 10382, 11021, 11306, 11304;, , , , , , ;;57372, 57373, 57374;;;Teatro Stabile di Napoli;Patrizio Marrone, Zeno Craig, Tato Russo, Aurelio Gatti, Giusi Giustino, Patrick Latronica, Tonino Di Ronza;Amleto, Amleto, Amleto;
53749;/Produzioni/1996 Le sedie (53749);1.0;Le sedie;Compagnia teatrale I Fratellini, Firenze (EN-);1996-11-05;1996-11-05;1996;"[
    {
        'Id': 162,
        'nome': 'Milano',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9037,
        'nome': 'Teatro C.R.T.',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29787,
        'Nome': 'Compagnia teatrale I Fratellini',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11321,
        'Nome': 'Mazzocchetti, Germano',
        'Ruolo': ''
    },
    {
        'Identificativo': 11316,
        'Nome': 'Morteo, Gian Renzo',
        'Ruolo': ''
    },
    {
        'Identificativo': 11317,
        'Nome': 'Marcucci, Egisto',
        'Ruolo': ''
    },
    {
        'Identificativo': 10161,
        'Nome': 'Gregori, Graziano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57375,
        'Nome': 'Le sedie',
        'Ruolo': ''
    },
    {
        'Identificativo': 57376,
        'Nome': 'Le sedie',
        'Ruolo': ''
    },
    {
        'Identificativo': 57377,
        'Nome': 'Le sedie',
        'Ruolo': ''
    }
]";[];Milano;162;Teatro C.R.T.;9037;;29787;produzione;;11321, 11316, 11317, 10161;, , , ;;57375, 57376, 57377;;;Compagnia teatrale I Fratellini;Germano Mazzocchetti, Gian Renzo Morteo, Egisto Marcucci, Graziano Gregori;Le sedie, Le sedie, Le sedie;
53750;/Produzioni/1999 Il campiello (53750);1.0;Il campiello;;1999-02-25;1999-02-25;1999;"[
    {
        'Id': 119,
        'nome': 'Bologna',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8855,
        'nome': 'Arena del Sole',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 31597,
        'Nome': 'Arena del Sole Nuova Scena',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 26679,
        'Nome': 'Garella, Nanni',
        'Ruolo': ''
    },
    {
        'Identificativo': 11052,
        'Nome': 'Fiorentino, Antonio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10159,
        'Nome': 'Saccomandi, Gigi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57378,
        'Nome': 'Il campiello',
        'Ruolo': ''
    },
    {
        'Identificativo': 57379,
        'Nome': 'Il campiello',
        'Ruolo': ''
    },
    {
        'Identificativo': 57380,
        'Nome': 'Il campiello',
        'Ruolo': ''
    }
]";[];Bologna;119;Arena del Sole;8855;;31597;produzione;;26679, 11052, 10159;, , ;;57378, 57379, 57380;;;Arena del Sole Nuova Scena;Nanni Garella, Antonio Fiorentino, Gigi Saccomandi;Il campiello, Il campiello, Il campiello;
53751;/Produzioni/1998 Max Gericke (53751);1.0;Max Gericke;Teatro Stabile, Parma (EN-);1998-01-06;1998-01-06;1998;"[
    {
        'Id': 209,
        'nome': 'Venezia',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8692,
        'nome': 'Teatro Goldoni',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29685,
        'Nome': 'Teatro Due',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10253,
        'Nome': 'Le Moli, Walter',
        'Ruolo': ''
    },
    {
        'Identificativo': 10256,
        'Nome': 'Troisi, Lino',
        'Ruolo': ''
    },
    {
        'Identificativo': 10254,
        'Nome': 'Santi, Tiziano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57381,
        'Nome': 'Max Gericke',
        'Ruolo': ''
    },
    {
        'Identificativo': 57382,
        'Nome': 'Max Gericke',
        'Ruolo': ''
    },
    {
        'Identificativo': 57383,
        'Nome': 'Max Gericke',
        'Ruolo': ''
    },
    {
        'Identificativo': 57384,
        'Nome': 'Max Gericke',
        'Ruolo': ''
    }
]";[];Venezia;209;Teatro Goldoni;8692;;29685;produzione;;10253, 10256, 10254;, , ;;57381, 57382, 57383, 57384;;;Teatro Due;Walter Le Moli, Lino Troisi, Tiziano Santi;Max Gericke, Max Gericke, Max Gericke, Max Gericke;
53752;/Produzioni/1998 Workwithinwork (53752);1.0;Workwithinwork;Ballett Frankfurt (EN-);1998-10-16;1998-10-16;1998;"[
    {
        'Id': 8328,
        'nome': 'Frankfurt am Main',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29462,
        'Nome': 'Ballett Frankfurt',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10082,
        'Nome': 'Galloway, Stephen',
        'Ruolo': ''
    },
    {
        'Identificativo': 10079,
        'Nome': 'Forsythe, William',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 58105,
        'Nome': 'Ballett Frankfurt',
        'Ruolo': ''
    },
    {
        'Identificativo': 58106,
        'Nome': 'Ballett Frankfurt',
        'Ruolo': ''
    }
]";[];Frankfurt am Main;8328;;;;29462;produzione;;10082, 10079;, ;;58105, 58106;;;Ballett Frankfurt;Stephen Galloway, William Forsythe;Ballett Frankfurt, Ballett Frankfurt;
53753;/Produzioni/1998 Fuga naturale (53753);1.0;Fuga naturale;;1998-10-30;1998-10-30;1998;"[
    {
        'Id': 4331,
        'nome': 'Jesi',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8728,
        'nome': 'Teatro Pergolesi',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29463,
        'Nome': 'Aterballetto',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29853,
        'Nome': 'Teatro Pergolesi di Jesi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10085,
        'Nome': 'Ferrarini, Ramona',
        'Ruolo': ''
    },
    {
        'Identificativo': 13485,
        'Nome': 'Righi, Stefano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57187,
        'Nome': 'Aterballetto.\nTrittico per Leopardi',
        'Ruolo': ''
    }
]";[];Jesi;4331;Teatro Pergolesi;8728;;29463, 29853;produzione, produzione;;10085, 13485;, ;;57187;;;Aterballetto, Teatro Pergolesi di Jesi;Ramona Ferrarini, Stefano Righi;"Aterballetto.
Trittico per Leopardi";
53754;/Produzioni/1928 Apollon musagète (53754);1.0;Apollon musagète;;1928-06-12;1928-06-12;1928;"[
    {
        'Id': 8368,
        'nome': 'Parigi',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9238,
        'nome': 'Theatre S. Bernhardt',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29880,
        'Nome': 'Ballets Russes de Serge Diaghilev',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 13715,
        'Nome': 'Bauchant, André',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57188,
        'Nome': 'Sylvie Guillem e Jonathan Cope con Aterballetto',
        'Ruolo': ''
    },
    {
        'Identificativo': 58109,
        'Nome': 'Sylvie Guillem e Jonathan Cope con Aterballetto',
        'Ruolo': ''
    }
]";[];Parigi;8368;Theatre S. Bernhardt;9238;;29880;produzione;;13715;;;57188, 58109;;;Ballets Russes de Serge Diaghilev;André Bauchant;Sylvie Guillem e Jonathan Cope con Aterballetto, Sylvie Guillem e Jonathan Cope con Aterballetto;
53755;/Produzioni/1998 Così fan tutte (53755);1.0;Così fan tutte;;1998-01-26;1998-01-26;1998;"[
    {
        'Id': 162,
        'nome': 'Milano',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8940,
        'nome': 'Nuovo Piccolo Teatro di Milano/Teatro d'Europa',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29700,
        'Nome': 'Teatro Comunale di Modena',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29788,
        'Nome': 'Piccolo Teatro di Milano/Teatro d'Europa',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10020,
        'Nome': 'Strehler, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 31672,
        'Nome': 'Battistoni, Carlo',
        'Ruolo': ''
    },
    {
        'Identificativo': 10023,
        'Nome': 'Squarciapino, Franca',
        'Ruolo': ''
    },
    {
        'Identificativo': 10022,
        'Nome': 'Frigerio, Ezio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57179,
        'Nome': 'Così fan tutte',
        'Ruolo': ''
    },
    {
        'Identificativo': 57178,
        'Nome': 'Così fan tutte',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69351,
        'Nome': 'Così fan tutte ossia La scuola degli amanti, K 588',
        'Ruolo': ''
    }
]";Milano;162;Nuovo Piccolo Teatro di Milano/Teatro d'Europa;8940;;29700, 29716, 29788;produzione, produzione, produzione;;10020, 31672, 10023, 10022;, , , ;;57179, 57178;;69351;Teatro Comunale di Modena, I Teatri di Reggio Emilia, Piccolo Teatro di Milano/Teatro d'Europa;Giorgio Strehler, Carlo Battistoni, Franca Squarciapino, Ezio Frigerio;Così fan tutte, Così fan tutte;Così fan tutte ossia La scuola degli amanti, K 588
53756;/Produzioni/1999 Hollywood (53756);1.0;Hollywood;;1999-01-01;1999-01-31;1999;[];"[
    {
        'Identificativo': 29667,
        'Nome': 'Teatro e Società S.r.l.',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10113,
        'Nome': 'Patroni Griffi, Giuseppe',
        'Ruolo': ''
    },
    {
        'Identificativo': 10112,
        'Nome': 'Brancaccio, Mariano',
        'Ruolo': ''
    },
    {
        'Identificativo': 10111,
        'Nome': 'Terlizzi, Aldo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57189,
        'Nome': 'Hollywood. Ritratto di un divo',
        'Ruolo': ''
    },
    {
        'Identificativo': 57190,
        'Nome': 'Hollywood. Ritratto di un divo',
        'Ruolo': ''
    },
    {
        'Identificativo': 57191,
        'Nome': 'Hollywood. Ritratto di un divo',
        'Ruolo': ''
    },
    {
        'Identificativo': 57192,
        'Nome': 'Hollywood. Ritratto di un divo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 69456,
        'Nome': 'Hollywood',
        'Ruolo': ''
    }
]";;;;;;29667;produzione;;10113, 10112, 10111;, , ;;57189, 57190, 57191, 57192;;69456;Teatro e Società S.r.l.;Giuseppe Patroni Griffi, Mariano Brancaccio, Aldo Terlizzi;Hollywood. Ritratto di un divo, Hollywood. Ritratto di un divo, Hollywood. Ritratto di un divo, Hollywood. Ritratto di un divo;Hollywood
53757;/Produzioni/1998 Il gabbiano (53757);1.0;Il gabbiano;;1998-10-06;1998-10-06;1998;"[
    {
        'Id': 190,
        'nome': 'Roma',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8688,
        'nome': 'Teatro Eliseo',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 31762,
        'Nome': 'Teatro Eliseo',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10127,
        'Nome': 'Chiaramello, Giancarlo',
        'Ruolo': ''
    },
    {
        'Identificativo': 10128,
        'Nome': 'Scaparro, Maurizio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10126,
        'Nome': 'Marzot, Vera',
        'Ruolo': ''
    },
    {
        'Identificativo': 10129,
        'Nome': 'Rossi, Sergio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10130,
        'Nome': 'Carletti, Mario',
        'Ruolo': ''
    },
    {
        'Identificativo': 10125,
        'Nome': 'Francia, Roberto',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57193,
        'Nome': 'Il gabbiano',
        'Ruolo': ''
    },
    {
        'Identificativo': 57194,
        'Nome': 'Il gabbiano',
        'Ruolo': ''
    },
    {
        'Identificativo': 57195,
        'Nome': 'Il gabbiano',
        'Ruolo': ''
    }
]";[];Roma;190;Teatro Eliseo;8688;;31762;produzione;;10127, 10128, 10126, 10129, 10130, 10125;, , , , , ;;57193, 57194, 57195;;;Teatro Eliseo;Giancarlo Chiaramello, Maurizio Scaparro, Vera Marzot, Sergio Rossi, Mario Carletti, Roberto Francia;Il gabbiano, Il gabbiano, Il gabbiano;
53758;/Produzioni/1999 Il ritorno a casa (53758);1.0;Il ritorno a casa;Teatro di Sardegna, Cagliari (EN-);1999-10-16;1999-10-16;1999;"[
    {
        'Id': 190,
        'nome': 'Roma',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8730,
        'nome': 'Teatro Quirino',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 30623,
        'Nome': 'Sardegna Teatro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 16192,
        'Nome': 'De Monticelli, Guido',
        'Ruolo': ''
    },
    {
        'Identificativo': 10142,
        'Nome': 'Mariani, Guido',
        'Ruolo': ''
    },
    {
        'Identificativo': 10141,
        'Nome': 'Job, Enrico',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57196,
        'Nome': 'Il ritorno a casa',
        'Ruolo': ''
    },
    {
        'Identificativo': 57197,
        'Nome': 'Il ritorno a casa',
        'Ruolo': ''
    }
]";[];Roma;190;Teatro Quirino;8730;;30623;produzione;;16192, 10142, 10141;, , ;;57196, 57197;;;Sardegna Teatro;Guido De Monticelli, Guido Mariani, Enrico Job;Il ritorno a casa, Il ritorno a casa;
53759;/Produzioni/Un'altra storia (53759);1.0;Un'altra storia;IRMA Istituto per la resistenza alla Malinconia (EN-);;;;[];"[
    {
        'Identificativo': 29795,
        'Nome': 'IRMA Spettacoli',
        'Ruolo': 'produzione'
    }
]";[];"[
    {
        'Identificativo': 57215,
        'Nome': 'Un'altra storia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57216,
        'Nome': 'Un'altra storia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57217,
        'Nome': 'Un'altra storia',
        'Ruolo': ''
    }
]";[];;;;;;29795;produzione;;;;;57215, 57216, 57217;;;IRMA Spettacoli;;Un'altra storia, Un'altra storia, Un'altra storia;
53760;/Produzioni/2000 Delirio a due (53760);1.0;Delirio a due;;2000-01-01;2000-12-31;2000;"[
    {
        'Id': 190,
        'nome': 'Roma',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8688,
        'nome': 'Teatro Eliseo',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29685,
        'Nome': 'Teatro Due',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31762,
        'Nome': 'Teatro Eliseo',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10253,
        'Nome': 'Le Moli, Walter',
        'Ruolo': ''
    },
    {
        'Identificativo': 10254,
        'Nome': 'Santi, Tiziano',
        'Ruolo': ''
    },
    {
        'Identificativo': 10255,
        'Nome': 'Mannini, Elena',
        'Ruolo': ''
    },
    {
        'Identificativo': 10256,
        'Nome': 'Troisi, Lino',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57219,
        'Nome': 'Delirio a due... o a quanti se ne vuole',
        'Ruolo': ''
    },
    {
        'Identificativo': 57220,
        'Nome': 'Delirio a due... o a quanti se ne vuole',
        'Ruolo': ''
    },
    {
        'Identificativo': 57221,
        'Nome': 'Delirio a due... o a quanti se ne vuole',
        'Ruolo': ''
    }
]";[];Roma;190;Teatro Eliseo;8688;;29685, 31762;produzione, produzione;;10253, 10254, 10255, 10256;, , , ;;57219, 57220, 57221;;;Teatro Due, Teatro Eliseo;Walter Le Moli, Tiziano Santi, Elena Mannini, Lino Troisi;Delirio a due... o a quanti se ne vuole, Delirio a due... o a quanti se ne vuole, Delirio a due... o a quanti se ne vuole;
53761;/Produzioni/2000 Pinocchia (53761);1.0;Pinocchia;"Teatro dell&#39;Archivolto, Genova (EN-)";0200-01-15;0200-01-15;2000;"[
    {
        'Id': 143,
        'nome': 'Genova',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9117,
        'nome': 'Teatro Gustavo Modena',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29710,
        'Nome': 'Teatro dell'Archivolto',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 12373,
        'Nome': 'Silvestri, Paolo',
        'Ruolo': ''
    },
    {
        'Identificativo': 10275,
        'Nome': 'Gallione, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 15680,
        'Nome': 'Val Eri',
        'Ruolo': ''
    },
    {
        'Identificativo': 12372,
        'Nome': 'Fiorato, Guido',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57223,
        'Nome': 'Pinocchia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57224,
        'Nome': 'Pinocchia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57225,
        'Nome': 'Pinocchia',
        'Ruolo': ''
    },
    {
        'Identificativo': 57226,
        'Nome': 'Pinocchia',
        'Ruolo': ''
    }
]";[];Genova;143;Teatro Gustavo Modena;9117;;29710;produzione;;12373, 10275, 15680, 12372;, , , ;;57223, 57224, 57225, 57226;;;Teatro dell'Archivolto;Paolo Silvestri, Giorgio Gallione, Val Eri, Guido Fiorato;Pinocchia, Pinocchia, Pinocchia, Pinocchia;
53762;/Produzioni/1999 L'idiota (53762);1.0;L'idiota;Cooperativa teatrale Gli Ipocriti, Napoli (EN-);1999-03-10;1999-03-10;1999;"[
    {
        'Id': 7551,
        'nome': 'Gubbio',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9053,
        'nome': 'Teatro Comunale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29802,
        'Nome': 'Cooperativa teatrale Gli Ipocriti',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10343,
        'Nome': 'Romano, Fabrizio',
        'Ruolo': ''
    },
    {
        'Identificativo': 10345,
        'Nome': 'Dall'Aglio, Gigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 10344,
        'Nome': 'Accetta, Cesare',
        'Ruolo': ''
    },
    {
        'Identificativo': 31651,
        'Nome': 'Buonincontri, Bruno',
        'Ruolo': ''
    },
    {
        'Identificativo': 10329,
        'Nome': 'Dallagiacoma, Angelo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57249,
        'Nome': 'L'idiota',
        'Ruolo': ''
    },
    {
        'Identificativo': 57250,
        'Nome': 'L'idiota',
        'Ruolo': ''
    },
    {
        'Identificativo': 57234,
        'Nome': 'L'idiota',
        'Ruolo': ''
    }
]";[];Gubbio;7551;Teatro Comunale;9053;;29802;produzione;;10343, 10345, 10344, 31651, 10329;, , , , ;;57249, 57250, 57234;;;Cooperativa teatrale Gli Ipocriti;Fabrizio Romano, Gigi Dall'Aglio, Cesare Accetta, Bruno Buonincontri, Angelo Dallagiacoma;L'idiota, L'idiota, L'idiota;
53763;/Produzioni/1983 Café chantant (53763);1.0;Café chantant;;1983-04-15;1983-04-15;1983;"[
    {
        'Id': 165,
        'nome': 'Napoli',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9090,
        'nome': 'Teatro Diana',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 30077,
        'Nome': 'Nuova Commedia',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29486,
        'Nome': 'Domino Rosa',
        'Ruolo': 'costumi'
    },
    {
        'Identificativo': 29487,
        'Nome': 'De Lorenzo-Lori',
        'Ruolo': 'scene'
    }
]";"[
    {
        'Identificativo': 10499,
        'Nome': 'Craig, Zeno',
        'Ruolo': ''
    },
    {
        'Identificativo': 10500,
        'Nome': 'Mastrangelo, Alfonso',
        'Ruolo': ''
    },
    {
        'Identificativo': 10486,
        'Nome': 'Russo, Tato',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 57246,
        'Nome': 'Café chantant',
        'Ruolo': ''
    },
    {
        'Identificativo': 57247,
        'Nome': 'Café chantant',
        'Ruolo': ''
    },
    {
        'Identificativo': 57248,
        'Nome': 'Café chantant',
        'Ruolo': ''
    }
]";[];Napoli;165;Teatro Diana;9090;;30077, 29486, 29487;produzione, costumi, scene;;10499, 10500, 10486;, , ;;57246, 57247, 57248;;;Nuova Commedia, Domino Rosa, De Lorenzo-Lori;Zeno Craig, Alfonso Mastrangelo, Tato Russo;Café chantant, Café chantant, Café chantant;
